c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 102 51
1 0 1
2 0 31
3 0 36
4 0 33
5 1 2
6 1 21
7 1 14
8 31 32
9 12 21
10 12 36
11 36 39
12 11 14
13 11 32
14 11 33
15 33 38
16 2 16
17 16 21
18 2 3
19 21 22
20 14 35
21 14 20
22 29 32
23 7 32
24 12 34
25 12 13
26 10 11
27 10 20
28 10 29
29 16 17
30 3 23
31 16 23
32 3 4
33 3 15
34 15 35
35 35 37
36 15 26
37 20 26
38 19 20
39 25 29
40 6 29
41 9 10
42 9 19
43 9 25
44 4 24
45 23 24
46 23 27
47 18 19
48 25 28
49 5 25
50 8 9
51 24 30
