c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 182 91
1 0 68
2 0 6
3 0 7
4 7 8
5 7 66
6 7 46
7 8 25
8 25 46
9 8 26
10 8 53
11 26 34
12 34 66
13 14 46
14 25 48
15 48 53
16 14 15
17 15 25
18 26 35
19 35 53
20 20 26
21 9 53
22 19 20
23 19 34
24 13 14
25 14 45
26 48 54
27 20 52
28 35 52
29 20 27
30 9 32
31 9 10
32 9 36
33 18 19
34 19 47
35 27 47
36 27 50
37 50 52
38 21 32
39 21 52
40 27 28
41 10 33
42 32 33
43 10 11
44 10 37
45 36 37
46 16 36
47 28 43
48 43 47
49 50 65
50 21 64
51 21 22
52 22 33
53 1 28
54 28 51
55 51 65
56 11 29
57 29 33
58 11 17
59 11 62
60 37 56
61 42 43
62 43 67
63 49 64
64 22 38
65 38 49
66 22 23
67 23 29
68 44 49
69 44 51
70 51 55
71 62 63
72 23 30
73 30 38
74 38 39
75 23 24
76 2 44
77 44 58
78 30 40
79 30 31
80 31 39
81 39 57
82 57 58
83 39 59
84 31 41
85 4 31
86 3 4
87 3 59
88 59 61
89 4 12
90 4 5
91 60 61
