c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 250 125
1 0 55
2 0 11
3 0 87
4 44 55
5 52 55
6 55 69
7 4 11
8 10 11
9 10 52
10 11 28
11 43 44
12 44 45
13 44 54
14 52 104
15 52 64
16 35 69
17 12 69
18 69 71
19 4 89
20 4 86
21 12 86
22 9 10
23 28 56
24 9 27
25 27 28
26 28 29
27 36 43
28 43 63
29 54 63
30 45 75
31 45 93
32 36 42
33 42 64
34 64 68
35 34 35
36 35 59
37 12 101
38 12 13
39 71 99
40 46 71
41 46 75
42 85 86
43 77 86
44 9 80
45 2 9
46 29 61
47 29 30
48 21 36
49 75 105
50 41 42
51 41 82
52 68 82
53 68 74
54 74 80
55 23 68
56 1 34
57 34 47
58 46 47
59 16 59
60 58 59
61 53 59
62 13 100
63 13 14
64 46 102
65 73 85
66 76 77
67 2 8
68 8 23
69 2 3
70 30 96
71 30 31
72 31 76
73 41 81
74 41 70
75 74 103
76 23 67
77 22 23
78 1 48
79 48 58
80 1 88
81 47 94
82 14 15
83 15 16
84 58 92
85 14 32
86 31 32
87 14 98
88 73 83
89 8 24
90 7 8
91 31 62
92 22 40
93 40 81
94 70 97
95 20 70
96 67 72
97 51 67
98 18 22
99 22 39
100 48 49
101 48 57
102 15 90
103 32 33
104 32 79
105 7 26
106 7 78
107 72 78
108 6 7
109 19 40
110 50 51
111 50 72
112 17 18
113 39 91
114 17 38
115 38 39
116 66 78
117 6 25
118 5 6
119 6 65
120 38 65
121 65 66
122 17 84
123 37 38
124 66 95
125 60 65
