c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 124 62
1 0 21
2 0 30
3 2 21
4 21 29
5 30 48
6 1 25
7 25 26
8 4 25
9 26 27
10 4 56
11 4 20
12 3 27
13 20 47
14 5 52
15 52 57
16 52 53
17 12 57
18 53 60
19 53 54
20 12 49
21 12 22
22 24 49
23 22 51
24 13 22
25 22 55
26 13 18
27 13 14
28 13 31
29 50 55
30 14 17
31 14 15
32 23 50
33 16 17
34 17 19
35 15 28
36 16 28
37 7 16
38 19 58
39 10 19
40 7 8
41 7 59
42 7 11
43 7 43
44 8 9
45 9 10
46 41 43
47 6 43
48 41 42
49 39 41
50 40 42
51 42 45
52 37 39
53 38 39
54 45 46
55 34 37
56 36 38
57 44 46
58 33 34
59 33 36
60 35 36
61 32 33
62 32 35
