c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 212 106
1 0 17
2 0 27
3 0 71
4 17 18
5 2 17
6 5 17
7 27 40
8 26 27
9 27 70
10 18 19
11 12 18
12 18 47
13 2 16
14 1 2
15 1 70
16 5 72
17 5 10
18 40 81
19 39 40
20 8 12
21 8 26
22 25 26
23 26 62
24 39 62
25 19 82
26 19 20
27 19 78
28 12 13
29 13 20
30 13 25
31 10 41
32 41 47
33 36 47
34 47 60
35 16 64
36 10 11
37 11 16
38 16 54
39 1 28
40 23 39
41 8 73
42 25 35
43 7 25
44 22 62
45 20 34
46 34 36
47 20 21
48 13 74
49 41 48
50 41 42
51 42 60
52 36 37
53 37 60
54 36 46
55 45 60
56 11 52
57 48 52
58 11 79
59 28 56
60 54 56
61 54 83
62 23 24
63 24 28
64 28 67
65 23 88
66 9 23
67 35 77
68 35 69
69 22 76
70 3 34
71 21 84
72 48 49
73 42 61
74 48 61
75 42 43
76 43 58
77 45 58
78 45 87
79 30 52
80 56 85
81 24 57
82 49 50
83 50 61
84 31 49
85 43 59
86 59 61
87 43 44
88 58 66
89 38 58
90 32 50
91 50 51
92 51 68
93 59 68
94 59 63
95 32 33
96 33 51
97 53 68
98 63 86
99 55 63
100 4 33
101 15 33
102 15 65
103 14 15
104 14 75
105 14 29
106 6 80
