c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 166 83
1 0 52
2 0 53
3 0 46
4 0 5
5 44 52
6 45 52
7 1 44
8 1 53
9 53 74
10 46 48
11 5 24
12 5 66
13 45 50
14 1 2
15 1 6
16 1 39
17 26 48
18 26 47
19 47 48
20 24 25
21 25 26
22 24 29
23 23 24
24 66 67
25 43 50
26 2 49
27 2 51
28 2 28
29 6 38
30 6 7
31 26 31
32 27 47
33 25 71
34 29 32
35 31 32
36 20 29
37 14 29
38 23 37
39 22 23
40 7 41
41 38 41
42 31 70
43 16 20
44 19 20
45 13 14
46 14 30
47 14 15
48 22 73
49 18 19
50 18 22
51 22 36
52 16 64
53 16 17
54 15 63
55 16 63
56 19 34
57 15 35
58 12 18
59 18 21
60 21 34
61 34 72
62 33 34
63 35 69
64 12 68
65 3 65
66 4 65
67 4 60
68 8 9
69 9 40
70 9 57
71 9 58
72 10 57
73 57 61
74 55 58
75 10 56
76 10 11
77 42 55
78 42 56
79 42 61
80 54 55
81 42 75
82 54 62
83 59 62
