c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 144 72
1 0 11
2 11 19
3 10 11
4 11 27
5 10 18
6 18 19
7 19 35
8 19 20
9 9 10
10 10 26
11 26 27
12 27 41
13 27 28
14 17 18
15 18 49
16 9 48
17 17 48
18 9 25
19 25 26
20 8 9
21 26 40
22 40 41
23 41 42
24 41 46
25 2 17
26 17 21
27 34 49
28 2 3
29 3 48
30 8 24
31 24 25
32 25 39
33 7 8
34 8 47
35 2 16
36 21 56
37 21 33
38 3 5
39 24 38
40 7 23
41 23 24
42 7 51
43 7 44
44 47 50
45 47 53
46 16 32
47 4 5
48 4 16
49 5 37
50 37 50
51 23 29
52 22 23
53 6 51
54 44 58
55 14 44
56 31 32
57 4 15
58 14 15
59 15 37
60 12 14
61 14 52
62 31 45
63 12 30
64 30 31
65 13 31
66 13 36
67 15 36
68 12 54
69 1 30
70 30 43
71 13 55
72 36 57
