c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 174 87
1 0 7
2 7 33
3 2 33
4 11 33
5 5 33
6 14 33
7 2 68
8 2 67
9 2 12
10 2 60
11 11 13
12 13 14
13 5 6
14 14 34
15 14 75
16 15 67
17 1 60
18 13 23
19 6 41
20 34 48
21 34 74
22 34 51
23 15 72
24 15 56
25 1 62
26 23 24
27 23 54
28 48 49
29 49 51
30 26 48
31 51 53
32 53 54
33 56 57
34 56 58
35 35 62
36 24 42
37 21 24
38 42 55
39 54 55
40 26 50
41 49 50
42 8 26
43 26 66
44 50 52
45 52 53
46 52 55
47 57 59
48 58 59
49 27 58
50 42 46
51 9 21
52 19 21
53 21 38
54 8 64
55 8 29
56 8 71
57 46 76
58 9 10
59 9 22
60 19 25
61 18 19
62 18 22
63 19 20
64 32 64
65 10 16
66 10 45
67 22 28
68 28 45
69 18 37
70 18 31
71 32 47
72 30 32
73 32 63
74 16 44
75 17 28
76 17 44
77 17 47
78 31 40
79 31 73
80 47 77
81 3 4
82 3 70
83 61 70
84 36 65
85 43 65
86 39 43
87 39 69
