c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 248 124
1 0 88
2 0 33
3 0 18
4 0 87
5 32 33
6 33 54
7 17 18
8 18 19
9 7 18
10 4 32
11 32 53
12 31 32
13 16 17
14 16 54
15 53 58
16 54 58
17 17 100
18 19 34
19 19 91
20 6 7
21 3 4
22 4 76
23 53 94
24 26 31
25 31 42
26 42 58
27 2 3
28 2 31
29 16 22
30 15 16
31 55 58
32 34 48
33 34 35
34 34 60
35 5 6
36 5 76
37 6 95
38 3 98
39 3 86
40 76 77
41 25 42
42 41 42
43 1 2
44 22 74
45 22 92
46 15 56
47 55 56
48 44 55
49 48 93
50 38 48
51 35 67
52 35 39
53 38 39
54 60 99
55 60 62
56 62 74
57 77 79
58 24 41
59 40 41
60 41 43
61 74 103
62 45 56
63 67 72
64 67 73
65 67 68
66 68 72
67 68 73
68 39 80
69 9 39
70 62 65
71 62 63
72 63 65
73 63 72
74 78 79
75 66 73
76 66 80
77 29 68
78 11 80
79 8 9
80 9 90
81 9 10
82 10 11
83 65 81
84 65 84
85 57 63
86 11 69
87 66 69
88 29 36
89 14 29
90 11 30
91 8 89
92 8 50
93 10 96
94 81 102
95 14 28
96 28 57
97 46 57
98 69 75
99 12 69
100 12 83
101 36 83
102 36 59
103 36 37
104 21 30
105 30 47
106 49 50
107 47 51
108 50 51
109 28 64
110 27 28
111 75 82
112 75 85
113 12 13
114 12 23
115 59 97
116 59 61
117 61 64
118 21 52
119 52 85
120 64 101
121 23 70
122 70 82
123 71 85
124 20 23
