c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 156 78
1 0 65
2 0 57
3 1 65
4 40 57
5 25 40
6 25 57
7 1 2
8 1 12
9 1 21
10 21 25
11 32 40
12 35 40
13 28 40
14 2 24
15 21 24
16 2 3
17 2 13
18 21 67
19 35 67
20 32 33
21 35 49
22 35 37
23 28 43
24 28 42
25 28 59
26 28 36
27 24 26
28 19 24
29 33 64
30 27 49
31 19 41
32 37 41
33 18 37
34 19 63
35 37 63
36 54 59
37 4 36
38 19 20
39 14 27
40 14 64
41 27 52
42 23 27
43 39 41
44 16 18
45 10 18
46 4 22
47 22 54
48 4 56
49 4 5
50 14 58
51 22 58
52 14 31
53 30 31
54 30 52
55 39 62
56 39 46
57 10 66
58 10 11
59 5 8
60 8 22
61 15 56
62 5 50
63 5 7
64 31 47
65 6 62
66 8 60
67 8 53
68 15 29
69 15 38
70 15 55
71 44 47
72 34 60
73 51 53
74 44 48
75 44 45
76 17 34
77 48 61
78 9 61
