c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 100 50
1 0 18
2 0 3
3 0 38
4 18 24
5 17 18
6 10 18
7 2 3
8 2 17
9 3 4
10 4 10
11 3 15
12 17 32
13 16 17
14 10 11
15 10 37
16 1 2
17 2 14
18 14 15
19 4 9
20 9 15
21 4 35
22 35 37
23 15 25
24 12 37
25 29 37
26 13 14
27 14 31
28 25 31
29 8 9
30 8 25
31 9 36
32 35 36
33 5 35
34 22 25
35 31 34
36 21 31
37 8 28
38 7 8
39 7 22
40 21 33
41 22 33
42 22 26
43 20 21
44 20 34
45 21 30
46 6 7
47 7 23
48 33 39
49 20 27
50 19 20
