c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 180 90
1 0 26
2 26 49
3 26 27
4 26 61
5 49 62
6 27 80
7 27 28
8 25 61
9 61 79
10 43 62
11 43 44
12 44 62
13 28 75
14 28 38
15 28 39
16 17 25
17 43 45
18 44 68
19 74 75
20 37 38
21 23 38
22 39 40
23 2 39
24 17 48
25 17 50
26 3 17
27 45 56
28 10 68
29 10 11
30 11 37
31 22 37
32 48 64
33 24 50
34 56 63
35 9 10
36 9 64
37 10 31
38 11 60
39 11 70
40 55 63
41 9 65
42 9 69
43 31 32
44 32 70
45 31 58
46 32 51
47 51 60
48 4 60
49 1 55
50 65 67
51 29 32
52 57 58
53 46 58
54 4 12
55 4 76
56 29 72
57 6 29
58 46 66
59 46 47
60 12 21
61 36 72
62 6 20
63 5 6
64 21 33
65 20 52
66 21 52
67 36 73
68 36 42
69 5 71
70 36 71
71 19 20
72 20 30
73 30 33
74 5 41
75 19 41
76 52 78
77 13 73
78 19 35
79 30 35
80 15 19
81 7 30
82 13 14
83 14 41
84 8 35
85 34 35
86 15 16
87 15 18
88 14 77
89 53 59
90 54 59
