c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 138 69
1 0 35
2 0 20
3 0 6
4 20 48
5 20 24
6 6 7
7 7 20
8 6 41
9 5 6
10 7 8
11 8 48
12 8 47
13 47 48
14 45 47
15 45 48
16 15 48
17 11 24
18 7 42
19 41 42
20 40 41
21 29 41
22 8 43
23 42 43
24 23 45
25 23 47
26 15 46
27 45 46
28 19 29
29 19 42
30 28 29
31 22 29
32 14 19
33 14 43
34 23 39
35 39 43
36 23 36
37 46 49
38 1 19
39 22 34
40 1 18
41 18 22
42 21 22
43 1 2
44 2 14
45 14 44
46 38 39
47 38 44
48 31 39
49 9 31
50 9 36
51 32 34
52 33 34
53 17 18
54 17 34
55 2 13
56 13 18
57 25 38
58 30 31
59 30 38
60 3 31
61 4 9
62 16 17
63 12 13
64 12 17
65 13 37
66 25 37
67 10 30
68 27 30
69 26 27
