c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 184 92
1 0 16
2 0 68
3 0 39
4 16 17
5 15 16
6 39 40
7 39 56
8 39 82
9 17 72
10 17 18
11 15 57
12 1 18
13 1 40
14 9 40
15 40 41
16 8 9
17 8 56
18 54 56
19 18 19
20 30 57
21 23 57
22 1 67
23 9 10
24 9 13
25 8 55
26 54 55
27 7 54
28 30 74
29 30 36
30 29 30
31 11 23
32 23 38
33 6 23
34 13 76
35 13 35
36 12 13
37 12 55
38 7 71
39 7 63
40 6 49
41 29 49
42 29 43
43 11 70
44 37 38
45 38 79
46 6 80
47 5 6
48 12 34
49 34 35
50 63 69
51 63 78
52 33 49
53 49 59
54 5 27
55 27 37
56 4 5
57 5 61
58 34 42
59 34 83
60 26 33
61 26 61
62 33 51
63 50 59
64 59 84
65 27 64
66 3 4
67 4 28
68 26 28
69 26 66
70 26 58
71 50 58
72 48 51
73 24 50
74 50 81
75 52 64
76 60 64
77 53 64
78 2 3
79 3 14
80 28 32
81 46 66
82 21 58
83 53 65
84 14 22
85 32 45
86 31 32
87 46 47
88 21 73
89 21 62
90 25 62
91 20 75
92 44 77
