c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 100 50
1 0 1
2 1 9
3 1 2
4 1 33
5 9 15
6 2 3
7 2 11
8 11 33
9 33 34
10 7 33
11 15 40
12 3 16
13 15 16
14 15 31
15 3 4
16 3 12
17 11 12
18 8 34
19 6 34
20 4 17
21 16 17
22 16 30
23 23 30
24 23 31
25 31 39
26 4 5
27 4 13
28 12 13
29 12 37
30 8 20
31 17 26
32 26 30
33 17 18
34 27 30
35 23 24
36 10 23
37 13 32
38 13 14
39 35 37
40 20 21
41 21 37
42 20 25
43 18 19
44 18 38
45 32 36
46 35 36
47 29 32
48 21 22
49 22 32
50 21 28
