c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 118 59
1 0 1
2 1 33
3 1 2
4 32 33
5 12 33
6 2 21
7 21 33
8 2 3
9 2 20
10 12 34
11 11 12
12 12 13
13 13 21
14 3 28
15 21 28
16 34 35
17 34 46
18 13 22
19 13 14
20 28 43
21 14 15
22 15 28
23 22 23
24 23 35
25 35 36
26 31 35
27 22 45
28 14 17
29 17 23
30 15 40
31 40 43
32 39 43
33 7 43
34 15 29
35 17 29
36 23 24
37 7 8
38 8 40
39 29 41
40 40 41
41 7 25
42 4 7
43 29 30
44 8 16
45 16 25
46 8 9
47 41 42
48 9 44
49 41 44
50 5 25
51 16 26
52 9 10
53 9 37
54 18 26
55 26 38
56 37 38
57 6 37
58 18 27
59 18 19
