c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 154 77
1 0 1
2 0 42
3 0 46
4 1 9
5 1 2
6 1 22
7 26 42
8 42 43
9 22 25
10 25 46
11 43 45
12 45 46
13 9 60
14 9 23
15 23 26
16 2 3
17 2 30
18 13 22
19 22 29
20 29 30
21 26 27
22 26 44
23 43 44
24 25 41
25 12 13
26 12 25
27 8 23
28 4 23
29 7 30
30 13 18
31 13 14
32 14 29
33 6 29
34 32 44
35 40 41
36 12 17
37 17 18
38 14 49
39 5 14
40 32 51
41 32 59
42 31 32
43 34 40
44 34 51
45 17 24
46 16 17
47 16 34
48 31 35
49 34 35
50 28 31
51 31 39
52 16 57
53 16 36
54 19 35
55 35 52
56 39 56
57 38 39
58 38 56
59 11 36
60 11 52
61 36 53
62 15 36
63 19 33
64 10 11
65 10 19
66 19 20
67 20 38
68 15 48
69 10 58
70 15 58
71 15 55
72 20 21
73 20 54
74 48 50
75 47 48
76 47 50
77 37 47
