c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 198 99
1 0 19
2 19 32
3 10 19
4 19 30
5 18 32
6 32 75
7 32 50
8 9 10
9 10 20
10 10 54
11 30 65
12 30 74
13 17 18
14 14 18
15 18 31
16 31 75
17 49 50
18 50 78
19 20 77
20 5 20
21 53 54
22 42 65
23 11 53
24 11 65
25 38 65
26 38 74
27 14 24
28 14 15
29 31 46
30 48 49
31 47 48
32 47 49
33 1 5
34 5 66
35 5 21
36 11 34
37 34 42
38 42 45
39 37 38
40 37 42
41 11 76
42 36 38
43 36 47
44 15 40
45 36 40
46 40 48
47 1 2
48 1 6
49 6 76
50 66 80
51 66 67
52 6 35
53 34 35
54 12 34
55 12 45
56 45 73
57 3 45
58 36 41
59 37 41
60 29 37
61 39 40
62 39 41
63 6 51
64 67 79
65 22 35
66 22 51
67 7 12
68 7 35
69 3 4
70 4 12
71 27 39
72 27 73
73 29 68
74 68 73
75 71 73
76 3 43
77 25 41
78 39 56
79 51 52
80 7 8
81 7 23
82 4 13
83 16 27
84 27 44
85 28 71
86 25 69
87 33 56
88 55 56
89 69 70
90 55 59
91 55 60
92 26 70
93 57 59
94 59 63
95 57 58
96 57 62
97 62 64
98 61 62
99 72 81
