c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 142 71
1 0 1
2 0 7
3 1 8
4 7 8
5 1 2
6 1 50
7 6 7
8 7 31
9 2 9
10 8 9
11 8 22
12 2 13
13 2 37
14 2 39
15 28 50
16 31 52
17 20 31
18 9 36
19 9 14
20 14 22
21 20 21
22 21 22
23 22 30
24 37 40
25 39 40
26 37 41
27 36 47
28 37 47
29 20 42
30 19 20
31 10 36
32 10 41
33 14 35
34 35 36
35 14 15
36 15 30
37 21 51
38 3 40
39 3 41
40 38 40
41 4 41
42 4 11
43 10 11
44 10 23
45 23 35
46 15 34
47 34 35
48 15 16
49 3 44
50 4 44
51 3 29
52 4 43
53 4 5
54 11 24
55 23 24
56 11 48
57 23 49
58 32 34
59 32 49
60 33 34
61 44 45
62 5 12
63 12 48
64 12 17
65 17 24
66 24 27
67 27 32
68 25 32
69 12 46
70 26 27
71 18 27
