c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 154 77
1 0 34
2 0 37
3 0 30
4 33 34
5 34 53
6 37 38
7 1 33
8 1 38
9 27 33
10 29 33
11 42 53
12 52 53
13 27 54
14 53 54
15 1 31
16 27 36
17 27 55
18 54 55
19 42 50
20 54 60
21 36 43
22 36 45
23 45 55
24 41 45
25 41 55
26 50 56
27 49 50
28 50 51
29 45 46
30 41 47
31 19 56
32 40 49
33 47 48
34 48 49
35 49 62
36 51 59
37 15 47
38 19 44
39 19 20
40 20 40
41 6 59
42 35 44
43 6 18
44 3 6
45 6 58
46 32 35
47 28 35
48 23 35
49 18 39
50 32 39
51 57 58
52 22 23
53 22 32
54 28 61
55 23 24
56 23 26
57 7 39
58 7 57
59 7 8
60 8 22
61 22 63
62 8 9
63 9 26
64 4 7
65 8 21
66 9 25
67 9 10
68 21 64
69 5 21
70 25 65
71 2 10
72 10 11
73 10 12
74 12 16
75 12 13
76 13 17
77 13 14
