c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 152 76
1 0 8
2 0 51
3 0 7
4 8 49
5 8 20
6 8 9
7 7 45
8 6 7
9 7 31
10 48 49
11 19 20
12 43 45
13 6 17
14 6 42
15 42 43
16 5 6
17 18 19
18 18 31
19 31 55
20 43 44
21 44 48
22 19 60
23 19 61
24 25 43
25 5 16
26 16 17
27 10 17
28 10 18
29 17 50
30 24 42
31 5 39
32 39 42
33 4 5
34 18 37
35 16 40
36 40 50
37 4 11
38 11 16
39 10 52
40 10 53
41 36 37
42 36 50
43 39 41
44 23 39
45 3 4
46 37 38
47 37 46
48 35 36
49 35 40
50 11 34
51 3 15
52 11 15
53 36 47
54 30 41
55 41 62
56 2 3
57 3 29
58 29 30
59 15 28
60 2 14
61 14 15
62 2 32
63 30 32
64 22 30
65 1 2
66 29 59
67 28 56
68 27 28
69 14 33
70 13 14
71 27 58
72 26 27
73 27 63
74 13 57
75 12 13
76 21 54
