c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 114 57
1 0 1
2 1 2
3 1 19
4 1 18
5 2 34
6 2 21
7 2 22
8 19 22
9 19 20
10 19 23
11 17 18
12 18 28
13 34 41
14 34 42
15 3 34
16 21 33
17 33 41
18 21 38
19 15 21
20 11 22
21 22 35
22 35 42
23 10 11
24 10 20
25 20 45
26 16 17
27 8 15
28 8 17
29 17 27
30 3 4
31 3 39
32 35 39
33 15 46
34 11 44
35 11 36
36 35 36
37 10 40
38 9 10
39 7 8
40 4 29
41 29 39
42 4 5
43 4 31
44 36 43
45 12 29
46 12 36
47 5 25
48 25 29
49 5 26
50 5 6
51 37 43
52 12 32
53 12 13
54 13 25
55 25 30
56 13 24
57 13 14
