c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 178 89
1 0 8
2 0 58
3 0 60
4 0 54
5 8 9
6 8 44
7 44 54
8 8 25
9 37 54
10 37 55
11 54 55
12 9 10
13 4 9
14 9 18
15 18 25
16 44 61
17 7 44
18 13 25
19 25 30
20 37 51
21 7 53
22 53 55
23 10 11
24 10 20
25 18 20
26 4 5
27 5 10
28 1 4
29 13 62
30 61 62
31 7 47
32 13 47
33 13 63
34 22 30
35 14 30
36 14 63
37 3 51
38 51 52
39 20 26
40 20 21
41 21 22
42 2 5
43 5 6
44 47 64
45 47 69
46 22 28
47 22 23
48 14 48
49 14 42
50 42 64
51 14 36
52 36 42
53 36 48
54 12 52
55 21 27
56 15 48
57 42 67
58 36 66
59 66 67
60 12 38
61 65 67
62 39 65
63 39 66
64 38 43
65 35 38
66 31 38
67 24 35
68 24 39
69 33 39
70 34 39
71 29 43
72 35 46
73 24 32
74 32 59
75 33 59
76 29 56
77 29 50
78 40 46
79 40 50
80 40 45
81 45 46
82 32 57
83 45 57
84 49 50
85 40 41
86 49 70
87 41 71
88 16 17
89 19 68
