c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 124 62
1 0 40
2 0 1
3 0 14
4 40 48
5 1 8
6 8 40
7 1 5
8 8 15
9 8 39
10 15 16
11 15 17
12 4 15
13 39 49
14 17 37
15 37 39
16 3 16
17 16 36
18 16 29
19 17 29
20 17 43
21 9 37
22 23 37
23 29 35
24 28 29
25 18 35
26 18 43
27 9 24
28 23 24
29 9 38
30 18 38
31 34 35
32 31 35
33 18 19
34 24 25
35 25 38
36 6 24
37 10 19
38 10 38
39 19 33
40 31 33
41 31 46
42 19 20
43 25 42
44 13 25
45 2 10
46 10 26
47 26 42
48 32 33
49 30 33
50 20 21
51 21 30
52 20 47
53 2 11
54 11 21
55 2 45
56 11 27
57 26 27
58 26 44
59 21 22
60 11 12
61 27 41
62 7 27
