c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 256 128
1 0 1
2 1 19
3 1 6
4 19 66
5 19 20
6 5 19
7 6 80
8 4 6
9 6 7
10 7 66
11 46 66
12 20 31
13 31 66
14 7 65
15 65 80
16 18 80
17 7 8
18 8 46
19 46 77
20 46 93
21 31 32
22 18 64
23 64 65
24 8 45
25 45 65
26 17 18
27 15 18
28 8 9
29 9 77
30 77 88
31 32 47
32 47 93
33 32 48
34 32 33
35 44 45
36 44 64
37 15 16
38 2 15
39 14 15
40 9 10
41 78 88
42 47 60
43 48 49
44 33 67
45 48 67
46 21 48
47 33 34
48 33 38
49 38 60
50 40 44
51 44 68
52 3 16
53 10 76
54 10 89
55 78 89
56 10 91
57 10 92
58 91 92
59 57 78
60 60 86
61 78 86
62 49 50
63 49 51
64 27 51
65 27 67
66 27 83
67 34 83
68 34 58
69 34 35
70 38 39
71 39 58
72 41 68
73 68 99
74 68 69
75 69 76
76 55 76
77 11 55
78 11 91
79 24 92
80 26 39
81 26 57
82 57 90
83 57 87
84 86 101
85 50 81
86 50 84
87 22 50
88 51 73
89 73 81
90 59 73
91 59 83
92 58 63
93 42 69
94 53 69
95 53 54
96 54 55
97 11 56
98 24 56
99 56 90
100 11 12
101 24 97
102 24 94
103 26 96
104 79 87
105 37 84
106 23 84
107 25 59
108 59 82
109 52 53
110 53 61
111 12 62
112 54 62
113 56 85
114 79 85
115 12 13
116 25 29
117 25 95
118 74 82
119 43 52
120 52 102
121 85 100
122 74 75
123 70 74
124 71 74
125 36 71
126 30 71
127 28 72
128 28 98
