c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 150 75
1 0 32
2 0 17
3 0 4
4 32 50
5 17 18
6 18 32
7 29 32
8 4 5
9 5 17
10 3 4
11 4 31
12 40 50
13 18 48
14 18 19
15 19 33
16 29 33
17 28 29
18 28 40
19 5 16
20 5 6
21 3 52
22 3 45
23 3 53
24 40 53
25 31 58
26 31 59
27 30 31
28 40 46
29 8 19
30 19 20
31 25 33
32 28 41
33 33 41
34 36 52
35 2 45
36 42 45
37 34 45
38 41 43
39 43 46
40 13 46
41 42 54
42 46 54
43 20 57
44 20 21
45 24 25
46 24 41
47 21 23
48 23 25
49 1 2
50 2 11
51 11 34
52 2 12
53 12 13
54 12 42
55 34 35
56 27 43
57 13 14
58 14 43
59 13 37
60 9 21
61 7 21
62 22 24
63 10 11
64 27 55
65 14 15
66 15 27
67 14 38
68 37 38
69 10 49
70 44 55
71 26 38
72 38 39
73 49 56
74 47 49
75 47 51
