c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 144 72
1 0 51
2 0 6
3 0 55
4 55 56
5 1 60
6 43 60
7 2 43
8 2 57
9 2 42
10 2 4
11 2 36
12 57 61
13 41 42
14 19 42
15 42 49
16 22 36
17 36 63
18 41 50
19 30 41
20 41 47
21 18 19
22 18 50
23 19 20
24 48 49
25 49 64
26 8 22
27 20 37
28 22 37
29 30 31
30 31 50
31 30 58
32 29 30
33 18 59
34 20 52
35 20 21
36 9 37
37 17 31
38 17 59
39 17 53
40 52 53
41 16 17
42 32 53
43 16 40
44 15 16
45 32 33
46 27 32
47 14 15
48 14 27
49 15 39
50 33 34
51 33 38
52 27 28
53 28 34
54 13 14
55 14 62
56 34 35
57 10 28
58 13 45
59 28 45
60 12 13
61 13 44
62 26 62
63 10 11
64 11 35
65 35 46
66 10 24
67 45 65
68 23 45
69 11 25
70 3 54
71 5 54
72 7 54
