c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 154 77
1 0 14
2 14 19
3 14 38
4 17 38
5 16 17
6 17 18
7 17 36
8 16 60
9 15 16
10 18 31
11 31 36
12 32 36
13 35 36
14 30 31
15 30 32
16 6 32
17 5 6
18 5 35
19 35 62
20 7 30
21 6 57
22 6 44
23 4 5
24 7 56
25 44 56
26 7 41
27 2 7
28 25 57
29 44 45
30 26 41
31 41 42
32 42 45
33 2 8
34 1 2
35 3 25
36 25 51
37 26 51
38 20 25
39 45 48
40 45 47
41 20 21
42 21 26
43 42 43
44 8 9
45 1 33
46 9 33
47 1 29
48 21 29
49 47 49
50 49 51
51 48 50
52 49 50
53 43 46
54 46 47
55 9 10
56 33 34
57 29 58
58 12 29
59 10 27
60 24 34
61 11 34
62 22 27
63 22 34
64 28 58
65 11 13
66 12 13
67 12 53
68 24 54
69 24 55
70 11 59
71 22 23
72 23 54
73 28 37
74 28 61
75 13 40
76 40 52
77 39 40
