c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 132 66
1 0 40
2 0 5
3 1 40
4 5 6
5 6 40
6 39 40
7 4 5
8 5 14
9 1 41
10 1 7
11 6 7
12 1 17
13 6 13
14 4 12
15 4 47
16 13 44
17 14 44
18 14 15
19 7 8
20 8 17
21 7 28
22 13 28
23 17 33
24 17 18
25 15 16
26 15 34
27 28 34
28 8 9
29 9 18
30 8 29
31 28 29
32 18 19
33 18 23
34 16 32
35 32 34
36 25 34
37 9 24
38 24 25
39 24 29
40 9 10
41 10 19
42 19 20
43 19 21
44 25 26
45 26 32
46 32 35
47 25 36
48 22 24
49 10 43
50 22 43
51 10 11
52 26 27
53 27 35
54 26 31
55 31 36
56 35 42
57 2 36
58 36 37
59 22 45
60 37 45
61 22 38
62 38 43
63 3 31
64 37 46
65 30 37
66 30 38
