c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 174 87
1 0 1
2 0 36
3 1 66
4 1 52
5 36 52
6 51 66
7 66 67
8 10 51
9 37 51
10 67 78
11 10 64
12 10 31
13 37 72
14 37 44
15 56 64
16 31 68
17 64 68
18 31 50
19 30 31
20 32 44
21 34 44
22 29 30
23 29 44
24 6 68
25 49 50
26 30 53
27 50 53
28 34 35
29 34 45
30 28 29
31 23 29
32 6 65
33 4 6
34 48 49
35 42 49
36 43 53
37 35 74
38 35 71
39 33 45
40 45 46
41 65 77
42 4 5
43 5 65
44 48 59
45 48 54
46 46 73
47 5 20
48 5 21
49 20 21
50 24 59
51 59 60
52 24 25
53 25 54
54 17 54
55 19 20
56 21 22
57 16 17
58 16 25
59 17 18
60 18 19
61 17 38
62 16 26
63 15 16
64 13 18
65 38 76
66 26 69
67 38 69
68 38 39
69 26 57
70 26 61
71 26 55
72 15 75
73 14 15
74 15 47
75 13 40
76 39 40
77 13 70
78 14 27
79 3 14
80 40 41
81 2 58
82 8 58
83 7 8
84 9 11
85 9 62
86 11 12
87 12 63
