c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 132 66
1 0 26
2 0 20
3 0 47
4 26 40
5 26 37
6 10 20
7 19 20
8 20 21
9 32 40
10 37 39
11 39 40
12 19 25
13 25 37
14 9 10
15 9 19
16 10 13
17 17 19
18 21 33
19 32 33
20 21 22
21 13 14
22 14 21
23 28 32
24 32 38
25 38 39
26 25 41
27 25 31
28 31 38
29 8 9
30 9 12
31 12 13
32 3 13
33 22 34
34 33 34
35 28 29
36 29 33
37 22 23
38 14 15
39 15 22
40 3 4
41 4 14
42 28 42
43 18 41
44 30 31
45 2 3
46 2 12
47 11 12
48 3 27
49 24 29
50 24 34
51 23 36
52 34 36
53 15 16
54 16 23
55 5 15
56 30 43
57 42 43
58 42 45
59 1 2
60 2 44
61 24 35
62 35 36
63 6 16
64 43 46
65 45 46
66 7 35
