c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 206 103
1 0 20
2 0 77
3 0 54
4 11 20
5 20 21
6 19 54
7 21 53
8 53 54
9 37 54
10 10 11
11 11 12
12 12 21
13 11 38
14 19 81
15 19 22
16 53 72
17 36 37
18 22 44
19 37 44
20 37 87
21 10 24
22 9 10
23 12 13
24 12 69
25 38 43
26 30 38
27 38 86
28 22 74
29 5 22
30 50 72
31 36 64
32 36 42
33 42 44
34 35 36
35 8 9
36 5 66
37 9 66
38 9 45
39 13 68
40 13 52
41 13 41
42 46 69
43 14 74
44 5 80
45 50 92
46 50 76
47 47 64
48 42 75
49 42 61
50 35 57
51 8 29
52 7 8
53 52 56
54 52 70
55 52 71
56 33 41
57 41 82
58 14 59
59 59 61
60 7 67
61 14 67
62 49 71
63 49 76
64 47 48
65 47 90
66 60 61
67 60 75
68 6 7
69 7 15
70 48 51
71 51 56
72 23 70
73 27 59
74 59 62
75 49 91
76 48 89
77 58 60
78 4 60
79 34 51
80 51 55
81 25 27
82 17 27
83 25 73
84 62 73
85 62 63
86 4 65
87 3 4
88 4 28
89 16 17
90 16 25
91 25 26
92 3 18
93 17 18
94 18 28
95 17 39
96 28 84
97 18 93
98 39 40
99 39 83
100 1 78
101 2 79
102 31 88
103 32 85
