c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 204 102
1 0 3
2 3 75
3 3 4
4 3 78
5 3 47
6 39 75
7 52 78
8 10 47
9 39 45
10 23 39
11 52 56
12 52 53
13 9 10
14 10 11
15 41 45
16 42 45
17 23 24
18 23 38
19 23 79
20 51 56
21 41 55
22 55 56
23 8 9
24 9 61
25 42 43
26 24 25
27 24 83
28 34 38
29 37 38
30 22 79
31 40 43
32 40 55
33 8 72
34 8 21
35 21 22
36 8 77
37 26 61
38 60 61
39 43 65
40 25 35
41 35 65
42 37 82
43 22 81
44 72 73
45 21 30
46 20 60
47 20 77
48 17 60
49 65 86
50 35 36
51 7 73
52 30 80
53 30 57
54 7 50
55 20 50
56 17 19
57 15 17
58 7 74
59 6 74
60 6 80
61 14 15
62 14 50
63 6 31
64 31 50
65 19 49
66 18 19
67 15 16
68 16 49
69 5 6
70 13 14
71 13 16
72 31 32
73 18 29
74 29 49
75 12 13
76 12 32
77 32 70
78 28 29
79 12 33
80 70 88
81 48 70
82 27 28
83 27 33
84 28 46
85 33 62
86 48 85
87 27 76
88 27 63
89 62 63
90 62 68
91 44 68
92 68 69
93 44 84
94 69 89
95 69 87
96 1 2
97 2 64
98 2 58
99 54 59
100 54 67
101 54 71
102 66 67
