c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 152 76
1 0 1
2 0 35
3 0 43
4 1 2
5 1 3
6 16 43
7 3 17
8 17 43
9 43 44
10 3 55
11 44 55
12 16 34
13 12 16
14 12 44
15 15 16
16 17 58
17 44 45
18 4 45
19 4 55
20 12 48
21 11 12
22 11 15
23 15 24
24 14 15
25 45 47
26 23 45
27 23 48
28 4 5
29 23 51
30 48 51
31 10 11
32 10 14
33 11 50
34 24 57
35 24 26
36 24 38
37 13 14
38 23 46
39 51 52
40 9 10
41 9 13
42 10 21
43 49 50
44 49 52
45 21 22
46 22 50
47 22 52
48 32 57
49 13 40
50 26 40
51 26 39
52 39 40
53 27 38
54 19 38
55 28 38
56 7 13
57 8 9
58 9 20
59 20 21
60 21 37
61 49 59
62 22 25
63 32 33
64 6 40
65 28 41
66 39 41
67 31 39
68 28 42
69 41 42
70 20 56
71 20 36
72 29 41
73 31 54
74 18 42
75 30 42
76 29 53
