c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 134 67
1 0 12
2 12 51
3 12 52
4 37 51
5 11 52
6 1 37
7 34 37
8 11 49
9 11 19
10 11 45
11 1 56
12 1 38
13 10 49
14 23 45
15 21 38
16 10 42
17 10 20
18 23 36
19 42 43
20 42 44
21 15 42
22 36 46
23 40 44
24 25 40
25 25 46
26 14 40
27 39 40
28 8 14
29 13 14
30 39 41
31 8 24
32 8 31
33 13 60
34 24 32
35 31 32
36 16 24
37 4 24
38 4 47
39 24 47
40 29 31
41 32 33
42 16 17
43 16 53
44 4 50
45 4 5
46 4 22
47 47 62
48 29 59
49 7 53
50 3 50
51 5 9
52 5 6
53 7 54
54 3 18
55 2 3
56 6 48
57 27 54
58 2 55
59 48 57
60 48 61
61 26 27
62 26 28
63 27 28
64 26 35
65 28 35
66 35 55
67 30 58
