c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 150 75
1 0 23
2 23 43
3 11 23
4 22 23
5 43 59
6 14 43
7 11 28
8 10 11
9 11 12
10 22 50
11 22 53
12 14 24
13 14 54
14 27 28
15 28 29
16 28 30
17 10 56
18 9 10
19 9 30
20 9 50
21 12 40
22 24 40
23 12 25
24 25 27
25 12 13
26 50 58
27 5 53
28 1 24
29 24 52
30 27 55
31 18 29
32 25 26
33 26 29
34 29 31
35 30 31
36 30 32
37 8 9
38 8 32
39 17 25
40 5 48
41 5 21
42 8 21
43 42 52
44 32 33
45 19 32
46 8 35
47 48 49
48 37 48
49 21 47
50 47 48
51 21 46
52 46 47
53 19 41
54 35 41
55 19 34
56 19 20
57 35 36
58 36 41
59 36 46
60 36 45
61 37 45
62 16 34
63 34 38
64 34 39
65 36 39
66 38 39
67 2 36
68 45 51
69 44 45
70 2 3
71 2 6
72 2 15
73 3 57
74 3 4
75 3 7
