c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 182 91
1 0 17
2 0 43
3 0 13
4 0 1
5 13 16
6 16 17
7 17 31
8 13 48
9 43 48
10 35 43
11 13 51
12 1 54
13 1 14
14 14 54
15 16 30
16 30 31
17 14 27
18 27 31
19 31 38
20 34 35
21 34 48
22 35 61
23 7 35
24 20 51
25 12 51
26 49 51
27 2 54
28 2 61
29 36 54
30 20 53
31 30 53
32 30 37
33 34 52
34 49 52
35 6 7
36 6 34
37 2 60
38 60 61
39 7 57
40 7 55
41 55 60
42 12 19
43 19 20
44 12 59
45 49 59
46 11 12
47 2 8
48 2 15
49 19 23
50 23 53
51 53 63
52 24 52
53 24 59
54 52 58
55 6 41
56 6 50
57 50 58
58 8 56
59 55 56
60 56 57
61 42 57
62 11 18
63 18 19
64 11 46
65 46 59
66 10 11
67 8 9
68 3 8
69 18 29
70 23 29
71 22 23
72 24 33
73 33 46
74 24 25
75 25 58
76 5 25
77 5 50
78 47 50
79 28 29
80 22 39
81 29 39
82 22 40
83 21 22
84 25 44
85 33 44
86 33 62
87 5 26
88 4 5
89 4 44
90 39 45
91 32 62
