c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 104 52
1 0 1
2 1 2
3 1 28
4 1 29
5 2 32
6 28 32
7 2 3
8 2 31
9 29 31
10 12 28
11 27 29
12 29 30
13 12 13
14 13 32
15 3 19
16 19 31
17 3 4
18 3 14
19 13 14
20 16 31
21 11 12
22 12 22
23 26 27
24 15 27
25 13 23
26 17 19
27 4 35
28 19 35
29 4 34
30 4 37
31 34 37
32 14 20
33 20 23
34 14 38
35 37 38
36 18 35
37 34 36
38 35 36
39 5 34
40 20 24
41 24 38
42 20 21
43 5 8
44 8 38
45 33 36
46 5 7
47 7 36
48 8 9
49 9 24
50 24 25
51 6 7
52 9 10
