c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 126 63
1 0 1
2 1 17
3 1 2
4 1 39
5 12 17
6 2 18
7 17 18
8 17 20
9 2 25
10 2 3
11 21 39
12 21 38
13 38 39
14 18 35
15 3 7
16 7 18
17 20 42
18 19 20
19 20 34
20 34 35
21 3 8
22 8 25
23 25 33
24 21 24
25 24 25
26 3 4
27 21 37
28 21 22
29 28 35
30 6 7
31 6 35
32 7 43
33 42 49
34 42 46
35 27 34
36 8 9
37 9 33
38 4 14
39 8 14
40 33 36
41 22 30
42 24 30
43 30 36
44 13 22
45 22 47
46 6 44
47 5 6
48 41 46
49 45 46
50 9 10
51 10 36
52 14 26
53 10 15
54 14 15
55 32 36
56 30 31
57 47 50
58 23 47
59 40 41
60 41 48
61 10 11
62 15 16
63 15 29
