c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 166 83
1 0 53
2 53 55
3 53 54
4 7 53
5 1 55
6 19 55
7 54 57
8 19 41
9 19 52
10 12 19
11 12 52
12 16 57
13 40 41
14 35 52
15 51 52
16 2 12
17 11 12
18 12 46
19 16 33
20 16 20
21 6 16
22 40 50
23 8 20
24 8 35
25 26 35
26 11 60
27 35 60
28 39 51
29 10 11
30 10 26
31 11 47
32 46 47
33 18 46
34 46 59
35 8 36
36 33 36
37 33 61
38 8 64
39 25 26
40 25 36
41 26 34
42 38 39
43 10 48
44 47 48
45 9 10
46 9 34
47 18 43
48 43 47
49 17 18
50 18 63
51 59 67
52 45 59
53 36 42
54 24 25
55 25 56
56 34 56
57 22 34
58 48 49
59 27 43
60 27 48
61 17 32
62 32 43
63 4 17
64 15 17
65 3 4
66 3 45
67 3 63
68 45 58
69 45 62
70 24 65
71 23 24
72 37 56
73 21 56
74 27 44
75 27 28
76 28 32
77 14 32
78 4 5
79 4 30
80 3 29
81 58 66
82 13 28
83 28 31
