c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 124 62
1 0 16
2 16 40
3 11 16
4 40 41
5 11 37
6 11 22
7 33 41
8 41 42
9 37 52
10 22 39
11 37 39
12 18 22
13 21 22
14 38 39
15 17 18
16 18 19
17 18 23
18 19 32
19 21 32
20 12 21
21 19 27
22 23 27
23 3 19
24 23 47
25 2 3
26 2 32
27 1 2
28 1 12
29 10 27
30 3 4
31 4 27
32 3 20
33 9 10
34 9 47
35 2 7
36 10 48
37 8 9
38 9 24
39 8 34
40 8 44
41 8 45
42 24 25
43 24 28
44 5 24
45 34 35
46 30 34
47 25 46
48 25 29
49 28 29
50 29 30
51 6 25
52 28 49
53 35 50
54 35 51
55 30 43
56 15 46
57 14 15
58 14 43
59 13 14
60 14 31
61 26 31
62 31 36
