c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 150 75
1 0 1
2 0 3
3 0 12
4 1 19
5 1 37
6 2 3
7 3 11
8 11 37
9 12 25
10 12 18
11 18 19
12 12 17
13 19 20
14 19 47
15 20 32
16 32 37
17 7 37
18 2 40
19 17 40
20 2 26
21 11 36
22 26 36
23 17 34
24 25 34
25 18 53
26 16 17
27 20 42
28 20 27
29 27 47
30 24 32
31 32 43
32 7 8
33 8 24
34 6 7
35 7 46
36 40 56
37 26 55
38 35 36
39 5 6
40 5 36
41 14 34
42 16 57
43 15 16
44 27 41
45 41 42
46 42 50
47 43 50
48 21 42
49 24 54
50 43 49
51 21 38
52 38 43
53 8 48
54 8 31
55 6 59
56 4 5
57 5 45
58 14 52
59 21 28
60 28 41
61 21 22
62 44 48
63 44 49
64 9 38
65 22 39
66 38 39
67 48 60
68 28 51
69 22 29
70 28 29
71 22 23
72 33 39
73 10 39
74 29 30
75 13 58
