c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 138 69
1 0 1
2 0 10
3 0 51
4 0 15
5 1 11
6 10 11
7 10 48
8 48 51
9 10 18
10 15 16
11 14 15
12 15 31
13 11 12
14 14 49
15 48 49
16 16 32
17 31 32
18 16 20
19 16 55
20 14 30
21 30 31
22 14 54
23 29 31
24 12 56
25 12 19
26 12 13
27 17 49
28 2 49
29 32 38
30 6 20
31 6 7
32 7 55
33 28 29
34 28 30
35 30 53
36 3 54
37 24 29
38 29 52
39 7 33
40 33 38
41 38 43
42 7 34
43 24 25
44 25 28
45 4 28
46 24 27
47 21 24
48 8 52
49 50 52
50 33 42
51 42 43
52 33 37
53 43 46
54 25 26
55 5 25
56 8 9
57 9 21
58 21 22
59 8 23
60 44 50
61 36 42
62 40 46
63 41 46
64 9 35
65 44 45
66 40 47
67 44 47
68 45 47
69 39 40
